Departamento;Municipio;EstadoVictima;AnoHecho;MesOCurrencia;DiaOcurrencia;TipoVehiculoGrupo;TipoServicio;CondicionVictima;ActorVial;UsuarioVia;Zona;ObjetoColision;EsCapital;Rango3horas;Rango6horas;Sexo;RangoEdad;EstadoVia;ActividadVictima;CausaMuerte;ClaseAccidente;CondicionLugar;Hipotesis;DiagnosticoTopografico;Muerte30Dias;TipoRegistro;TotalRegistros
SUCRE;SINCELEJO;MUERTOS;2025;03.MARZO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;SI;00:00 A 02:59;00:00 A 05:59;HOMBRE;[30,35);BUENO;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;ATROPELLO;NORMAL;CRUZAR EN ESTADO DE EMBRIAGUEZ;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;SABANETA;MUERTOS;2022;02.FEBRERO;1.LUNES;MOTOCICLETA;SIN INFORMACIÓN;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;TRANSPORTE DE CARGA;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[55,60);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
SANTANDER;GIRON;MUERTOS;2024;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;NO;-1;-1;HOMBRE;[35,40);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;LLUVIA;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;CAUCASIA;MUERTOS;2025;02.FEBRERO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;SIN INFO.;NO;-1;-1;HOMBRE;[15,20);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CHOCO;CERTEGUI;MUERTOS;2024;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;NO APLICA;NO;-1;-1;MUJER;[15,20);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CAÍDA DEL OCUPANTE;NS / NR Ó SIN INFORMACIÓN;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;AMBALEMA;MUERTOS;2025;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;SIN INFO.;NO;03:00 A 05:59;00:00 A 05:59;HOMBRE;[55,60);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;SIN INFORMACIÓN;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;SAN CARLOS;MUERTOS;2021;02.FEBRERO;1.LUNES;TRANSPORTE INDIVIDUAL;PARTICULAR;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;NO APLICA;NO;-1;-1;HOMBRE;[30,35);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE ABDOMEN;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CANDELARIA;MUERTOS;2022;03.MARZO;5.VIERNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;SIN INFO.;NO;-1;-1;HOMBRE;[30,35);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE MIEMBROS;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ATLANTICO;BARRANQUILLA;MUERTOS;2021;01.ENERO;4.JUEVES;TRANSPORTE INDIVIDUAL;SIN INFORMACIÓN;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;URBANA;TRANSPORTE INDIVIDUAL;SI;12:00 A 14:59;12:00 A 17:59;HOMBRE;[70,75);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
PUTUMAYO;MOCOA;MUERTOS;2024;01.ENERO;4.JUEVES;TRANSPORTE INDIVIDUAL;PARTICULAR;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;NO APLICA;SI;-1;-1;HOMBRE;[45,50);SIN INFORMACIÓN;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;MALAS CONDICIONES DE LA VÍA;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
